,donorID,province,region,gender,language,number_of_campaigns,total_amount,Q1_Donations,Q2_Donations,Q3_Donations,Q4_Donations,days_since_contributed,mean,min,max,Q1_Max,Q2_Max,Q3_Max,Q4_Max,Q1_Mean,Q2_Mean,Q3_Mean,Q4_Mean,Q1_Amount,Q2_Amount,Q3_Amount,Q4_Amount,Q1_Min,Q2_Min,Q3_Min,Q4_Min,age,age-group,amount,has_contributed
23,100040,Brussels,Brussels,M,NL,1.0,61.97,,1.0,,,4582.0,61.97,61.97,61.97,,61.97,,,,61.97,,,,61.97,,,,61.97,,,52,50,,0
24,100041,Brussels,Brussels,M,FR,16.0,555.0799999999999,4.0,3.0,5.0,4.0,1805.0,34.692499999999995,24.79,50.0,50.0,49.58,50.0,50.0,32.394999999999996,38.123333333333335,37.352,31.0925,129.57999999999998,114.37,186.76,124.37,24.79,24.79,24.79,24.79,38,30,,0
25,100043,Brussels,Brussels,F,NL,1.0,12.39,,,,1.0,4806.0,12.39,12.39,12.39,,,,12.39,,,,12.39,,,,12.39,,,,12.39,30,30,,0
26,100044,Brussels,Brussels,M,NL,1.0,41.0,,,1.0,,855.0,41.0,41.0,41.0,,,41.0,,,,41.0,,,,41.0,,,,41.0,,33,30,,0
27,100046,Brussels,Brussels,M,FR,1.0,50.0,1.0,,,,2532.0,50.0,50.0,50.0,50.0,,,,50.0,,,,50.0,,,,50.0,,,,33,30,,0
28,100048,Brussels,Brussels,M,FR,2.0,75.0,2.0,,,,1448.0,37.5,36.0,39.0,39.0,,,,37.5,,,,75.0,,,,36.0,,,,44,40,,0
29,100049,Brussels,Brussels,F,FR,10.0,210.0,3.0,2.0,1.0,4.0,31.0,21.0,20.0,30.0,20.0,30.0,20.0,20.0,20.0,25.0,20.0,20.0,60.0,50.0,20.0,80.0,20.0,20.0,20.0,20.0,66,60,,0
30,100053,Brussels,Brussels,F,NL,1.0,12.39,,,,1.0,4793.0,12.39,12.39,12.39,,,,12.39,,,,12.39,,,,12.39,,,,12.39,26,20,,0
31,100054,Brussels,Brussels,M,FR,15.0,663.95,1.0,8.0,2.0,4.0,2997.0,44.263333333333335,24.79,75.0,25.0,75.0,50.0,75.0,25.0,44.9475,40.0,49.8425,25.0,359.58,80.0,199.37,25.0,24.79,30.0,24.79,34,30,,0
32,100055,Brussels,Brussels,F,FR,2.0,66.0,1.0,,,1.0,2242.0,33.0,30.0,36.0,36.0,,,30.0,36.0,,,30.0,36.0,,,30.0,36.0,,,30.0,54,50,,0
33,100056,Brussels,Brussels,F,FR,1.0,25.0,,,,1.0,1526.0,25.0,25.0,25.0,,,,25.0,,,,25.0,,,,25.0,,,,25.0,29,20,,0
34,100057,Brussels,Brussels,M,FR,2.0,70.0,1.0,,1.0,,894.0,35.0,30.0,40.0,30.0,,40.0,,30.0,,40.0,,30.0,,40.0,,30.0,,40.0,,34,30,,0
35,100058,Brussels,Brussels,F,FR,24.0,333.68999999999994,2.0,6.0,7.0,9.0,4050.0,13.903749999999997,4.96,49.58,12.39,24.79,24.79,49.58,9.915000000000001,12.395000000000001,11.687142857142858,17.52,19.830000000000002,74.37,81.81,157.68,7.44,6.2,4.96,4.96,51,50,,0
36,100059,Brussels,Brussels,F,NL,2.0,80.0,1.0,,1.0,,914.0,40.0,40.0,40.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,87,80,,0
37,100061,Brussels,Brussels,F,NL,1.0,226.0,,,1.0,,2372.0,226.0,226.0,226.0,,,226.0,,,,226.0,,,,226.0,,,,226.0,,66,60,,0
38,100063,Brussels,Brussels,M,FR,6.0,101.69,2.0,,2.0,2.0,3346.0,16.948333333333334,12.12,24.79,20.0,,24.79,20.0,16.195,,18.455,16.195,32.39,,36.91,32.39,12.39,,12.12,12.39,52,50,,0
39,100064,Brussels,Brussels,M,FR,1.0,10.0,1.0,,,,1819.0,10.0,10.0,10.0,10.0,,,,10.0,,,,10.0,,,,10.0,,,,42,40,,0
40,100065,Brussels,Brussels,F,NL,8.0,233.57999999999998,2.0,3.0,1.0,2.0,2439.0,29.197499999999998,24.79,34.0,34.0,30.0,24.79,30.0,32.0,28.263333333333332,24.79,30.0,64.0,84.78999999999999,24.79,60.0,30.0,24.79,24.79,30.0,44,40,,0
41,100067,Brussels,Brussels,M,NL,1.0,20.0,,,,1.0,3695.0,20.0,20.0,20.0,,,,20.0,,,,20.0,,,,20.0,,,,20.0,51,50,,0
42,100069,Brussels,Brussels,M,FR,1.0,39.0,1.0,,,,1813.0,39.0,39.0,39.0,39.0,,,,39.0,,,,39.0,,,,39.0,,,,58,50,,0
43,100071,Brussels,Brussels,F,FR,6.0,465.0,2.0,2.0,1.0,1.0,259.0,77.5,75.0,80.0,80.0,80.0,75.0,75.0,77.5,80.0,75.0,75.0,155.0,160.0,75.0,75.0,75.0,80.0,75.0,75.0,31,30,,0
44,100073,West Flanders,Flanders,M,NL,1.0,30.0,1.0,,,,1816.0,30.0,30.0,30.0,30.0,,,,30.0,,,,30.0,,,,30.0,,,,34,30,,0
45,100077,Brussels,Brussels,F,FR,1.0,35.0,,1.0,,,2422.0,35.0,35.0,35.0,,35.0,,,,35.0,,,,35.0,,,,35.0,,,46,40,,0
46,100079,Antwerp,Flanders,M,NL,8.0,211.49,,3.0,4.0,1.0,2820.0,26.43625,12.39,32.0,,32.0,30.0,24.79,,30.666666666666668,23.675,24.79,,92.0,94.7,24.79,,30.0,12.39,24.79,51,50,,0
47,100081,Brussels,Brussels,M,FR,1.0,24.79,,,1.0,,6757.0,24.79,24.79,24.79,,,24.79,,,,24.79,,,,24.79,,,,24.79,,89,80,,0
48,100083,Brussels,Brussels,M,FR,1.0,30.0,,,,1.0,1484.0,30.0,30.0,30.0,,,,30.0,,,,30.0,,,,30.0,,,,30.0,49,40,,0
49,100084,Flemish Brabant,Flanders,Not Known,NL,3.0,74.37,,2.0,1.0,,4595.0,24.790000000000003,24.79,24.79,,24.79,24.79,,,24.79,24.79,,,49.58,24.79,,,24.79,24.79,,70,70,,0
50,100085,Brussels,Brussels,M,FR,2.0,70.0,1.0,1.0,,,557.0,35.0,30.0,40.0,30.0,40.0,,,30.0,40.0,,,30.0,40.0,,,30.0,40.0,,,62,60,,0
51,100086,Brussels,Brussels,M,FR,4.0,49.56,1.0,1.0,,2.0,4985.0,12.39,12.39,12.39,12.39,12.39,,12.39,12.39,12.39,,12.39,12.39,12.39,,24.78,12.39,12.39,,12.39,44,40,,0
52,100087,Brussels,Brussels,M,FR,4.0,47.44,1.0,1.0,1.0,1.0,3084.0,11.86,7.44,15.0,15.0,10.0,15.0,7.44,15.0,10.0,15.0,7.44,15.0,10.0,15.0,7.44,15.0,10.0,15.0,7.44,70,70,,0
53,100089,Flemish Brabant,Flanders,F,NL,1.0,6.2,,1.0,,,4976.0,6.2,6.2,6.2,,6.2,,,,6.2,,,,6.2,,,,6.2,,,33,30,,0
54,100090,Brussels,Brussels,F,FR,1.0,10.0,1.0,,,,2543.0,10.0,10.0,10.0,10.0,,,,10.0,,,,10.0,,,,10.0,,,,50,50,,0
55,100092,Brussels,Brussels,M,FR,1.0,49.58,,1.0,,,5004.0,49.58,49.58,49.58,,49.58,,,,49.58,,,,49.58,,,,49.58,,,49,40,,0
56,100094,Brussels,Brussels,M,FR,5.0,60.0,1.0,,3.0,1.0,1952.0,12.0,10.0,20.0,10.0,,20.0,10.0,10.0,,13.333333333333334,10.0,10.0,,40.0,10.0,10.0,,10.0,10.0,27,20,,0
57,100095,Flemish Brabant,Flanders,M,NL,13.0,353.53,2.0,4.0,3.0,4.0,2912.0,27.194615384615382,24.79,30.0,30.0,30.0,30.0,30.0,30.0,26.0925,26.526666666666667,27.395,60.0,104.37,79.58,109.58,30.0,24.79,24.79,24.79,72,70,,0
58,100098,Brussels,Brussels,M,FR,4.0,149.0,,2.0,1.0,1.0,574.0,37.25,30.0,43.0,,43.0,30.0,36.0,,41.5,30.0,36.0,,83.0,30.0,36.0,,40.0,30.0,36.0,44,40,,0
59,100101,Brussels,Brussels,F,FR,13.0,353.53,5.0,4.0,3.0,1.0,2733.0,27.194615384615382,24.79,30.0,30.0,30.0,30.0,24.79,25.832,27.395,30.0,24.79,129.16,109.58,90.0,24.79,24.79,24.79,30.0,24.79,35,30,,0
60,100103,Brussels,Brussels,M,FR,1.0,10.0,,,,1.0,1524.0,10.0,10.0,10.0,,,,10.0,,,,10.0,,,,10.0,,,,10.0,63,60,,0
61,100107,Brussels,Brussels,M,NL,4.0,40.0,1.0,1.0,1.0,1.0,1787.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,62,60,,0
62,100109,Brussels,Brussels,M,FR,4.0,128.43,1.0,2.0,,1.0,2062.0,32.1075,12.39,50.0,32.23,50.0,,12.39,32.23,41.905,,12.39,32.23,83.81,,12.39,32.23,33.81,,12.39,61,60,,0
63,100111,Flemish Brabant,Flanders,M,NL,6.0,258.74,,2.0,4.0,,2827.0,43.123333333333335,30.0,50.0,,50.0,49.58,,,49.79,39.79,,,99.58,159.16,,,49.58,30.0,,60,60,,0
64,100113,Brussels,Brussels,M,FR,3.0,74.37,1.0,,,2.0,4306.0,24.790000000000003,24.79,24.79,24.79,,,24.79,24.79,,,24.79,24.79,,,49.58,24.79,,,24.79,43,40,,0
65,100114,East Flanders,Flanders,M,NL,8.0,57.040000000000006,1.0,2.0,3.0,2.0,4198.0,7.130000000000001,4.96,9.92,6.2,6.2,9.92,9.92,6.2,6.2,7.853333333333334,7.4399999999999995,6.2,12.4,23.560000000000002,14.879999999999999,6.2,6.2,6.2,4.96,62,60,,0
66,100115,Brussels,Brussels,F,FR,38.0,276.5899999999999,10.0,9.0,8.0,11.0,3433.0,7.278684210526314,5.0,30.99,7.0,30.99,17.0,7.0,6.220000000000001,9.576666666666668,7.4,6.272727272727274,62.2,86.19000000000001,59.2,69.00000000000001,5.0,6.0,5.0,6.2,41,40,,0
67,100116,Brussels,Brussels,M,FR,4.0,139.79,,2.0,1.0,1.0,2056.0,34.9475,24.79,50.0,,50.0,30.0,24.79,,42.5,30.0,24.79,,85.0,30.0,24.79,,35.0,30.0,24.79,41,40,,0
68,100118,Liege,Wallonia,M,FR,2.0,65.0,,1.0,,1.0,1870.0,32.5,30.0,35.0,,30.0,,35.0,,30.0,,35.0,,30.0,,35.0,,30.0,,35.0,47,40,,0
69,100119,Brussels,Brussels,M,FR,1.0,24.79,,1.0,,,4286.0,24.79,24.79,24.79,,24.79,,,,24.79,,,,24.79,,,,24.79,,,43,40,,0
70,100121,West Flanders,Flanders,F,NL,3.0,79.58,1.0,1.0,,1.0,3643.0,26.526666666666667,24.79,30.0,30.0,24.79,,24.79,30.0,24.79,,24.79,30.0,24.79,,24.79,30.0,24.79,,24.79,32,30,,0
71,100123,Walloon Brabant,Wallonia,M,FR,8.0,160.0,2.0,3.0,2.0,1.0,1003.0,20.0,10.0,40.0,30.0,40.0,10.0,10.0,20.0,30.0,10.0,10.0,40.0,90.0,20.0,10.0,10.0,20.0,10.0,10.0,60,60,,0
72,100124,Brussels,Brussels,M,NL,2.0,76.0,1.0,,,1.0,2199.0,38.0,36.0,40.0,36.0,,,40.0,36.0,,,40.0,36.0,,,40.0,36.0,,,40.0,44,40,,0
73,100125,Brussels,Brussels,M,NL,2.0,32.23,,1.0,,1.0,4969.0,16.115,7.44,24.79,,7.44,,24.79,,7.44,,24.79,,7.44,,24.79,,7.44,,24.79,49,40,,0
74,100126,Brussels,Brussels,M,NL,3.0,227.0,,,2.0,1.0,125.0,75.66666666666667,52.0,123.0,,,123.0,52.0,,,87.5,52.0,,,175.0,52.0,,,52.0,52.0,32,30,,0
75,100127,Brussels,Brussels,F,FR,1.0,40.0,1.0,,,,1823.0,40.0,40.0,40.0,40.0,,,,40.0,,,,40.0,,,,40.0,,,,72,70,,0
76,100128,Brussels,Brussels,F,NL,17.0,473.28,3.0,5.0,4.0,5.0,888.0,27.84,4.96,50.0,30.0,50.0,40.0,30.0,28.263333333333332,27.95,29.895,25.832,84.78999999999999,139.75,119.58,129.16,24.79,4.96,24.79,24.79,32,30,,0
77,100131,Brussels,Brussels,M,FR,5.0,132.37,1.0,1.0,1.0,2.0,2383.0,26.474,24.79,33.0,24.79,25.0,33.0,24.79,24.79,25.0,33.0,24.79,24.79,25.0,33.0,49.58,24.79,25.0,33.0,24.79,46,40,,0
78,100132,Brussels,Brussels,F,FR,1.0,30.0,,1.0,,,1293.0,30.0,30.0,30.0,,30.0,,,,30.0,,,,30.0,,,,30.0,,,67,60,,0
79,100134,Brussels,Brussels,M,FR,1.0,30.0,,1.0,,,2417.0,30.0,30.0,30.0,,30.0,,,,30.0,,,,30.0,,,,30.0,,,32,30,,0
80,100136,Brussels,Brussels,F,NL,3.0,115.15,1.0,1.0,,1.0,4404.0,38.38333333333333,22.31,68.05,22.31,68.05,,24.79,22.31,68.05,,24.79,22.31,68.05,,24.79,22.31,68.05,,24.79,61,60,,0
81,100137,East Flanders,Flanders,M,NL,18.0,484.78,4.0,7.0,3.0,4.0,3237.0,26.932222222222222,4.96,50.0,50.0,35.0,37.18,31.61,34.26,24.231428571428573,24.046666666666667,26.494999999999997,137.04,169.62,72.14,105.97999999999999,24.79,7.44,4.96,24.79,37,30,,0
82,100138,Brussels,Brussels,F,FR,1.0,15.0,,,,1.0,1520.0,15.0,15.0,15.0,,,,15.0,,,,15.0,,,,15.0,,,,15.0,64,60,,0
83,100139,Brussels,Brussels,M,FR,2.0,50.0,1.0,,,1.0,1520.0,25.0,25.0,25.0,25.0,,,25.0,25.0,,,25.0,25.0,,,25.0,25.0,,,25.0,51,50,,0
84,100140,Brussels,Brussels,F,FR,1.0,20.0,,,1.0,,871.0,20.0,20.0,20.0,,,20.0,,,,20.0,,,,20.0,,,,20.0,,50,50,,0
85,100142,Brussels,Brussels,M,FR,19.0,523.53,2.0,7.0,7.0,3.0,1736.0,27.55421052631579,2.0,35.0,30.0,35.0,30.0,35.0,27.395,26.368571428571425,27.767142857142858,29.929999999999996,54.79,184.57999999999998,194.37,89.78999999999999,24.79,2.0,24.79,24.79,30,30,,0
86,100143,Brussels,Brussels,M,FR,1.0,20.0,,1.0,,,2411.0,20.0,20.0,20.0,,20.0,,,,20.0,,,,20.0,,,,20.0,,,32,30,,0
87,100145,Brussels,Brussels,F,NL,1.0,39.0,,,,1.0,1526.0,39.0,39.0,39.0,,,,39.0,,,,39.0,,,,39.0,,,,39.0,60,60,,0
88,100146,Namur,Wallonia,F,FR,1.0,30.0,1.0,,,,1824.0,30.0,30.0,30.0,30.0,,,,30.0,,,,30.0,,,,30.0,,,,75,70,,0
89,100149,Brussels,Brussels,F,NL,10.0,300.0,2.0,3.0,3.0,2.0,2662.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,60.0,90.0,90.0,60.0,30.0,30.0,30.0,30.0,47,40,,0
90,100150,Brussels,Brussels,M,NL,1.0,10.0,,,,1.0,1520.0,10.0,10.0,10.0,,,,10.0,,,,10.0,,,,10.0,,,,10.0,31,30,,0
91,100154,Brussels,Brussels,M,NL,1.0,10.0,,1.0,,,2417.0,10.0,10.0,10.0,,10.0,,,,10.0,,,,10.0,,,,10.0,,,31,30,,0
92,100155,Brussels,Brussels,F,NL,5.0,144.79,1.0,2.0,1.0,1.0,3396.0,28.958,24.79,30.0,30.0,30.0,30.0,30.0,30.0,27.395,30.0,30.0,30.0,54.79,30.0,30.0,30.0,24.79,30.0,30.0,76,70,,0
93,100156,Flemish Brabant,Flanders,F,NL,11.0,177.56,3.0,5.0,1.0,2.0,213.0,16.14181818181818,7.44,40.0,30.0,40.0,10.0,10.0,17.893333333333334,19.288,10.0,8.72,53.68,96.44,10.0,17.44,8.68,9.05,10.0,7.44,74,70,,0
94,100161,West Flanders,Flanders,F,NL,14.0,230.67999999999995,4.0,3.0,3.0,4.0,246.0,16.477142857142855,10.0,24.79,24.79,24.79,24.79,24.79,17.9925,15.726666666666667,16.523333333333333,15.49,71.97,47.18,49.57,61.96,10.0,10.0,12.39,12.39,70,70,,0
95,100162,Brussels,Brussels,M,FR,1.0,7.44,1.0,,,,5082.0,7.44,7.44,7.44,7.44,,,,7.44,,,,7.44,,,,7.44,,,,53,50,,0
96,100165,Brussels,Brussels,F,NL,7.0,40.0,3.0,,3.0,1.0,1008.0,5.714285714285714,5.0,10.0,5.0,,10.0,5.0,5.0,,6.666666666666667,5.0,15.0,,20.0,5.0,5.0,,5.0,5.0,48,40,,0
97,100166,Brussels,Brussels,F,NL,1.0,40.0,1.0,,,,1825.0,40.0,40.0,40.0,40.0,,,,40.0,,,,40.0,,,,40.0,,,,27,20,,0
98,100167,Brussels,Brussels,F,NL,1.0,5.0,1.0,,,,1823.0,5.0,5.0,5.0,5.0,,,,5.0,,,,5.0,,,,5.0,,,,52,50,,0
99,100168,Brussels,Brussels,M,FR,4.0,131.0,1.0,1.0,2.0,,1449.0,32.75,30.0,36.0,30.0,36.0,35.0,,30.0,36.0,32.5,,30.0,36.0,65.0,,30.0,36.0,30.0,,64,60,,0
100,100169,Brussels,Brussels,M,NL,1.0,32.0,,,,1.0,1529.0,32.0,32.0,32.0,,,,32.0,,,,32.0,,,,32.0,,,,32.0,73,70,,0
101,100170,Brussels,Brussels,M,FR,2.0,80.0,,,1.0,1.0,1536.0,40.0,40.0,40.0,,,40.0,40.0,,,40.0,40.0,,,40.0,40.0,,,40.0,40.0,29,20,,0
102,100171,Hainaut,Wallonia,M,FR,1.0,5.0,,,,1.0,1527.0,5.0,5.0,5.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,31,30,,0
103,100173,Brussels,Brussels,M,FR,1.0,10.0,,,,1.0,1532.0,10.0,10.0,10.0,,,,10.0,,,,10.0,,,,10.0,,,,10.0,45,40,,0
104,100175,Brussels,Brussels,M,FR,1.0,100.0,1.0,,,,2543.0,100.0,100.0,100.0,100.0,,,,100.0,,,,100.0,,,,100.0,,,,44,40,,0
105,100176,Brussels,Brussels,M,FR,1.0,15.0,,,,1.0,1531.0,15.0,15.0,15.0,,,,15.0,,,,15.0,,,,15.0,,,,15.0,44,40,,0
106,100177,Brussels,Brussels,M,NL,7.0,50.0,2.0,,2.0,3.0,1899.0,7.142857142857143,5.0,10.0,5.0,,10.0,10.0,5.0,,10.0,6.666666666666667,10.0,,20.0,20.0,5.0,,10.0,5.0,79,70,,0
107,100181,Brussels,Brussels,F,FR,1.0,39.0,,,,1.0,1830.0,39.0,39.0,39.0,,,,39.0,,,,39.0,,,,39.0,,,,39.0,90,90,,0
108,100182,Brussels,Brussels,F,NL,2.0,35.0,1.0,,,1.0,1027.0,17.5,15.0,20.0,15.0,,,20.0,15.0,,,20.0,15.0,,,20.0,15.0,,,20.0,81,80,,0
109,100185,Brussels,Brussels,M,FR,11.0,423.0,3.0,3.0,,5.0,11.0,38.45454545454545,25.0,48.0,40.0,40.0,,48.0,35.0,40.0,,39.6,105.0,120.0,,198.0,25.0,40.0,,30.0,26,20,,0
110,100186,Brussels,Brussels,M,FR,2.0,60.0,,,1.0,1.0,1204.0,30.0,30.0,30.0,,,30.0,30.0,,,30.0,30.0,,,30.0,30.0,,,30.0,30.0,42,40,,0
111,100190,Brussels,Brussels,F,FR,10.0,412.68,,8.0,1.0,1.0,1695.0,41.268,30.0,49.58,,49.58,30.0,49.58,,41.6375,30.0,49.58,,333.1,30.0,49.58,,30.0,30.0,49.58,86,80,,0
112,100194,Brussels,Brussels,F,NL,5.0,210.7,,1.0,1.0,3.0,4442.0,42.14,24.79,61.97,,37.18,24.79,61.97,,37.18,24.79,49.576666666666675,,37.18,24.79,148.73000000000002,,37.18,24.79,37.18,52,50,,0
113,100196,Brussels,Brussels,F,FR,1.0,36.0,,1.0,,,2417.0,36.0,36.0,36.0,,36.0,,,,36.0,,,,36.0,,,,36.0,,,32,30,,0
114,100199,Brussels,Brussels,M,FR,7.0,253.0,,5.0,1.0,1.0,219.0,36.142857142857146,30.0,40.0,,40.0,35.0,35.0,,36.6,35.0,35.0,,183.0,35.0,35.0,,30.0,35.0,35.0,46,40,,0
115,100201,Brussels,Brussels,M,FR,1.0,5.0,,,,1.0,1522.0,5.0,5.0,5.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,59,50,,0
116,100202,Brussels,Brussels,M,FR,1.0,24.79,,1.0,,,4641.0,24.79,24.79,24.79,,24.79,,,,24.79,,,,24.79,,,,24.79,,,38,30,,0
117,100203,Brussels,Brussels,F,NL,1.0,40.0,,,,1.0,1827.0,40.0,40.0,40.0,,,,40.0,,,,40.0,,,,40.0,,,,40.0,84,80,,0
118,100204,Brussels,Brussels,F,FR,1.0,24.79,,1.0,,,4996.0,24.79,24.79,24.79,,24.79,,,,24.79,,,,24.79,,,,24.79,,,41,40,,0
119,100206,Brussels,Brussels,F,NL,5.0,160.0,1.0,2.0,1.0,1.0,500.0,32.0,25.0,39.0,39.0,36.0,25.0,30.0,39.0,33.0,25.0,30.0,39.0,66.0,25.0,30.0,39.0,30.0,25.0,30.0,39,30,,0
120,100208,Brussels,Brussels,M,FR,2.0,20.0,,,1.0,1.0,1198.0,10.0,10.0,10.0,,,10.0,10.0,,,10.0,10.0,,,10.0,10.0,,,10.0,10.0,32,30,,0
121,100211,Brussels,Brussels,F,FR,1.0,36.0,1.0,,,,2533.0,36.0,36.0,36.0,36.0,,,,36.0,,,,36.0,,,,36.0,,,,41,40,,0
122,100212,Brussels,Brussels,M,FR,1.0,24.79,1.0,,,,4326.0,24.79,24.79,24.79,24.79,,,,24.79,,,,24.79,,,,24.79,,,,54,50,,0
123,100213,Brussels,Brussels,M,FR,2.0,51.0,1.0,1.0,,,218.0,25.5,21.0,30.0,30.0,21.0,,,30.0,21.0,,,30.0,21.0,,,30.0,21.0,,,39,30,,0
124,100214,West Flanders,Flanders,F,NL,6.0,148.73999999999998,1.0,2.0,2.0,1.0,4748.0,24.789999999999996,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,49.58,49.58,24.79,24.79,24.79,24.79,24.79,70,70,,0
